year,name,n,prop
1880,Sensor 1,241,0.002469161
1881,Sensor 1,263,0.002660462
1882,Sensor 1,288,0.002489282
1883,Sensor 1,287,0.002390491
1884,Sensor 1,337,0.002449377
1885,Sensor 1,339,0.002388182
1886,Sensor 1,370,0.002406723
1887,Sensor 1,338,0.002174724
1888,Sensor 1,404,0.002132523
1889,Sensor 1,413,0.002182656
1890,Sensor 1,392,0.001943856
1891,Sensor 1,371,0.001887397
1892,Sensor 1,455,0.002022986
1893,Sensor 1,387,0.001718228
1894,Sensor 1,418,0.001771397
1895,Sensor 1,431,0.001744184
1896,Sensor 1,367,0.00145639
1897,Sensor 1,354,0.001425838
1898,Sensor 1,371,0.001353294
1899,Sensor 1,326,0.001317225
1900,Sensor 1,377,0.001186374
1901,Sensor 1,317,0.001246893
1902,Sensor 1,301,0.001073723
1903,Sensor 1,247,0.000887857
1904,Sensor 1,294,0.001005341
1905,Sensor 1,311,0.001003647
1906,Sensor 1,260,0.000829502
1907,Sensor 1,285,0.000844612
1908,Sensor 1,260,0.000733359
1909,Sensor 1,271,0.000736217
1910,Sensor 1,278,0.000662653
1911,Sensor 1,280,0.000633754
1912,Sensor 1,310,0.000528372
1913,Sensor 1,346,0.000528322
1914,Sensor 1,375,0.000470746
1915,Sensor 1,412,0.00040239
1916,Sensor 1,421,0.000387765
1917,Sensor 1,445,0.000396012
1918,Sensor 1,397,0.000330183
1919,Sensor 1,379,0.000322649
1920,Sensor 1,379,0.000304653
1921,Sensor 1,392,0.000306326
1922,Sensor 1,341,0.00027334
1923,Sensor 1,362,0.000289041
1924,Sensor 1,341,0.000263175
1925,Sensor 1,310,0.000245438
1926,Sensor 1,310,0.000252009
1927,Sensor 1,234,0.000189267
1928,Sensor 1,247,0.000206628
1929,Sensor 1,209,0.000180565
1930,Sensor 1,196,0.000168046
1931,Sensor 1,209,0.000189387
1932,Sensor 1,213,0.000192557
1933,Sensor 1,199,0.000190273
1934,Sensor 1,189,0.000174648
1935,Sensor 1,211,0.00019417
1936,Sensor 1,192,0.000178202
1937,Sensor 1,176,0.00015975
1938,Sensor 1,192,0.000168225
1939,Sensor 1,185,0.00016314
1940,Sensor 1,218,0.000184556
1941,Sensor 1,223,0.000179
1942,Sensor 1,295,0.000212175
1943,Sensor 1,284,0.000197878
1944,Sensor 1,238,0.000174177
1945,Sensor 1,280,0.000208016
1946,Sensor 1,274,0.000169888
1947,Sensor 1,310,0.000170538
1948,Sensor 1,306,0.000175601
1949,Sensor 1,333,0.00018969
1950,Sensor 1,379,0.000215473
1951,Sensor 1,409,0.00022148
1952,Sensor 1,418,0.000219752
1953,Sensor 1,428,0.000221864
1954,Sensor 1,428,0.000215007
1955,Sensor 1,452,0.000225507
1956,Sensor 1,643,0.000312237
1957,Sensor 1,667,0.000317995
1958,Sensor 1,796,0.00038547
1959,Sensor 1,858,0.000412802
1960,Sensor 1,977,0.000469727
1961,Sensor 1,1057,0.000509097
1962,Sensor 1,948,0.000467682
1963,Sensor 1,1035,0.000520653
1964,Sensor 1,1275,0.000651447
1965,Sensor 1,1650,0.000902951
1966,Sensor 1,2329,0.001326646
1967,Sensor 1,2663,0.001551274
1968,Sensor 1,2430,0.001421485
1969,Sensor 1,2817,0.001598098
1970,Sensor 1,3550,0.001937819
1971,Sensor 1,4133,0.002358539
1972,Sensor 1,4181,0.00259283
1973,Sensor 1,5627,0.003620952
1974,Sensor 1,7476,0.004773465
1975,Sensor 1,12653,0.008107234
1976,Sensor 1,15591,0.009918564
1977,Sensor 1,18280,0.011113279
1978,Sensor 1,20522,0.012484799
1979,Sensor 1,31927,0.018529201
1980,Sensor 1,35819,0.020120456
1981,Sensor 1,34373,0.019223929
1982,Sensor 1,34210,0.018861828
1983,Sensor 1,33754,0.018866416
1984,Sensor 1,33906,0.018809696
1985,Sensor 1,39050,0.021158293
1986,Sensor 1,40522,0.021966311
1987,Sensor 1,41786,0.022302829
1988,Sensor 1,39451,0.020523206
1989,Sensor 1,36827,0.018489427
1990,Sensor 1,34405,0.016752674
1991,Sensor 1,28887,0.014209204
1992,Sensor 1,25034,0.012490981
1993,Sensor 1,20809,0.01055743
1994,Sensor 1,18715,0.009602976
1995,Sensor 1,16345,0.008508434
1996,Sensor 1,13973,0.007290218
1997,Sensor 1,12239,0.006412685
1998,Sensor 1,10908,0.005629351
1999,Sensor 1,9741,0.005006085
2000,Sensor 1,8550,0.004286872
2001,Sensor 1,6963,0.003517429
2002,Sensor 1,6132,0.003107082
2003,Sensor 1,5339,0.002662933
2004,Sensor 1,4677,0.002319868
2005,Sensor 1,4088,0.002016268
2006,Sensor 1,3355,0.0016066
2007,Sensor 1,3038,0.00143715
2008,Sensor 1,2439,0.001172625
2009,Sensor 1,1952,0.000965477
2010,Sensor 1,1655,0.000845746
2011,Sensor 1,1409,0.00072879
2012,Sensor 1,1228,0.000634937
2013,Sensor 1,1064,0.000553892
2014,Sensor 1,1048,0.000538111
2015,Sensor 1,1013,0.000523485
1917,Sensor 2,5,4.45E-06
1938,Sensor 2,7,6.13E-06
1941,Sensor 2,6,4.82E-06
1942,Sensor 2,8,5.75E-06
1943,Sensor 2,10,6.97E-06
1944,Sensor 2,12,8.78E-06
1945,Sensor 2,10,7.43E-06
1946,Sensor 2,7,4.34E-06
1947,Sensor 2,11,6.05E-06
1948,Sensor 2,13,7.46E-06
1949,Sensor 2,11,6.27E-06
1950,Sensor 2,15,8.53E-06
1951,Sensor 2,15,8.12E-06
1952,Sensor 2,24,1.26E-05
1953,Sensor 2,15,7.78E-06
1954,Sensor 2,21,1.05E-05
1955,Sensor 2,8,3.99E-06
1956,Sensor 2,25,1.21E-05
1957,Sensor 2,27,1.29E-05
1958,Sensor 2,38,1.84E-05
1959,Sensor 2,37,1.78E-05
1960,Sensor 2,57,2.74E-05
1961,Sensor 2,80,3.85E-05
1962,Sensor 2,95,4.69E-05
1963,Sensor 2,108,5.43E-05
1964,Sensor 2,180,9.20E-05
1965,Sensor 2,218,0.000119299
1966,Sensor 2,263,0.00014981
1967,Sensor 2,386,0.000224856
1968,Sensor 2,544,0.000318225
1969,Sensor 2,643,0.000364777
1970,Sensor 2,932,0.000508746
1971,Sensor 2,1164,0.000664249
1972,Sensor 2,1176,0.000729291
1973,Sensor 2,1253,0.000806301
1974,Sensor 2,1626,0.001038209
1975,Sensor 2,1988,0.001273783
1976,Sensor 2,2292,0.001458107
1977,Sensor 2,2706,0.001645106
1978,Sensor 2,3484,0.002119532
1979,Sensor 2,4450,0.002582609
1980,Sensor 2,7296,0.004098351
1981,Sensor 2,8877,0.004964676
1982,Sensor 2,14851,0.008188162
1983,Sensor 2,33290,0.018607069
1984,Sensor 2,38759,0.021501946
1985,Sensor 2,47007,0.0254696
1986,Sensor 2,49674,0.026927459
1987,Sensor 2,54845,0.02927293
1988,Sensor 2,49963,0.025991761
1989,Sensor 2,47585,0.023890607
1990,Sensor 2,45553,0.02218092
1991,Sensor 2,43482,0.021388328
1992,Sensor 2,38452,0.019186035
1993,Sensor 2,34847,0.017679598
1994,Sensor 2,30278,0.015536143
1995,Sensor 2,26603,0.013848264
1996,Sensor 2,23676,0.012352623
1997,Sensor 2,20895,0.010948039
1998,Sensor 2,19871,0.010254936
1999,Sensor 2,18132,0.009318379
2000,Sensor 2,17997,0.009023491
2001,Sensor 2,16524,0.008347263
2002,Sensor 2,15339,0.007772265
2003,Sensor 2,14512,0.007238151
2004,Sensor 2,14370,0.007127753
2005,Sensor 2,13270,0.00654498
2006,Sensor 2,12340,0.005909223
2007,Sensor 2,11423,0.005403741
2008,Sensor 2,9402,0.004520305
2009,Sensor 2,7811,0.003863391
2010,Sensor 2,6306,0.003222521
2011,Sensor 2,5398,0.002792056
2012,Sensor 2,4696,0.002428064
2013,Sensor 2,3936,0.002048983
2014,Sensor 2,3547,0.00182126
2015,Sensor 2,3409,0.001761658
1880,Sensor 3,117,0.001198721
1881,Sensor 3,112,0.001132973
1882,Sensor 3,123,0.001063131
1883,Sensor 3,120,0.000999509
1884,Sensor 3,144,0.001046618
1885,Sensor 3,155,0.001091941
1886,Sensor 3,167,0.001086278
1887,Sensor 3,178,0.001145269
1888,Sensor 3,214,0.001129604
1889,Sensor 3,189,0.000998843
1890,Sensor 3,216,0.001071104
1891,Sensor 3,239,0.00121587
1892,Sensor 3,255,0.001133762
1893,Sensor 3,298,0.00132308
1894,Sensor 3,298,0.001262862
1895,Sensor 3,350,0.00141639
1896,Sensor 3,342,0.001357181
1897,Sensor 3,367,0.0014782
1898,Sensor 3,421,0.001535678
1899,Sensor 3,410,0.001656633
1900,Sensor 3,664,0.002089529
1901,Sensor 3,474,0.001864439
1902,Sensor 3,580,0.002068968
1903,Sensor 3,596,0.002142359
1904,Sensor 3,707,0.002417606
1905,Sensor 3,807,0.002604318
1906,Sensor 3,865,0.00275969
1907,Sensor 3,1018,0.003016895
1908,Sensor 3,1128,0.00318165
1909,Sensor 3,1082,0.002939435
1910,Sensor 3,1389,0.003310879
1911,Sensor 3,1456,0.003295519
1912,Sensor 3,2011,0.003427599
1913,Sensor 3,2239,0.003418822
1914,Sensor 3,2933,0.003681861
1915,Sensor 3,4182,0.004084455
1916,Sensor 3,5136,0.004730554
1917,Sensor 3,6639,0.00590815
1918,Sensor 3,8802,0.007320585
1919,Sensor 3,10107,0.008604265
1920,Sensor 3,14017,0.011267341
1921,Sensor 3,17637,0.013782341
1922,Sensor 3,20893,0.01674748
1923,Sensor 3,25990,0.020751891
1924,Sensor 3,30602,0.02361783
1925,Sensor 3,32817,0.025982427
1926,Sensor 3,32959,0.026793386
1927,Sensor 3,35422,0.028650509
1928,Sensor 3,36078,0.030181071
1929,Sensor 3,36669,0.031680002
1930,Sensor 3,38239,0.032785353
1931,Sensor 3,36102,0.032714036
1932,Sensor 3,34411,0.031108323
1933,Sensor 3,31526,0.030143499
1934,Sensor 3,31078,0.028718117
1935,Sensor 3,28673,0.026385945
1936,Sensor 3,25863,0.024004366
1937,Sensor 3,25328,0.022989445
1938,Sensor 3,25502,0.022344127
1939,Sensor 3,23639,0.020845808
1940,Sensor 3,22074,0.018687585
1941,Sensor 3,20900,0.016776261
1942,Sensor 3,21654,0.015574328
1943,Sensor 3,21595,0.0150464
1944,Sensor 3,19757,0.014458856
1945,Sensor 3,18383,0.013656986
1946,Sensor 3,19714,0.012223227
1947,Sensor 3,18962,0.0104314
1948,Sensor 3,16622,0.009538692
1949,Sensor 3,14946,0.008513819
1950,Sensor 3,13614,0.007739964
1951,Sensor 3,12820,0.006942237
1952,Sensor 3,12125,0.006374383
1953,Sensor 3,11367,0.005892342
1954,Sensor 3,10615,0.005332477
1955,Sensor 3,9928,0.00495317
1956,Sensor 3,9213,0.004473785
1957,Sensor 3,8474,0.004040017
1958,Sensor 3,7709,0.003733152
1959,Sensor 3,7317,0.003520366
1960,Sensor 3,6503,0.003126548
1961,Sensor 3,5580,0.00268757
1962,Sensor 3,4765,0.002350744
1963,Sensor 3,4154,0.002089653
1964,Sensor 3,4067,0.002077988
1965,Sensor 3,3565,0.001950921
1966,Sensor 3,2948,0.001679241
1967,Sensor 3,2543,0.00148137
1968,Sensor 3,2134,0.001248333
1969,Sensor 3,2133,0.001210062
1970,Sensor 3,1967,0.001073716
1971,Sensor 3,1763,0.001006074
1972,Sensor 3,1366,0.000847119
1973,Sensor 3,1323,0.000851345
1974,Sensor 3,1130,0.000721511
1975,Sensor 3,1021,0.000654192
1976,Sensor 3,908,0.000577645
1977,Sensor 3,807,0.000490614
1978,Sensor 3,715,0.000434979
1979,Sensor 3,711,0.000412637
1980,Sensor 3,658,0.000369616
1981,Sensor 3,662,0.000370239
1982,Sensor 3,635,0.00035011
1983,Sensor 3,563,0.000314682
1984,Sensor 3,503,0.000279044
1985,Sensor 3,502,0.000271996
1986,Sensor 3,407,0.000220628
1987,Sensor 3,435,0.000232177
1988,Sensor 3,395,0.000205487
1989,Sensor 3,399,0.000200323
1990,Sensor 3,406,0.000197692
1991,Sensor 3,345,0.000169702
1992,Sensor 3,296,0.000147692
1993,Sensor 3,292,0.000148146
1994,Sensor 3,275,0.000141107
1995,Sensor 3,234,0.000121809
1996,Sensor 3,217,0.000113217
1997,Sensor 3,189,9.90E-05
1998,Sensor 3,194,0.000100119
1999,Sensor 3,182,9.35E-05
2000,Sensor 3,174,8.72E-05
2001,Sensor 3,153,7.73E-05
2002,Sensor 3,127,6.44E-05
2003,Sensor 3,142,7.08E-05
2004,Sensor 3,136,6.75E-05
2005,Sensor 3,132,6.51E-05
2006,Sensor 3,135,6.46E-05
2007,Sensor 3,134,6.34E-05
2008,Sensor 3,137,6.59E-05
2009,Sensor 3,148,7.32E-05
2010,Sensor 3,132,6.75E-05
2011,Sensor 3,167,8.64E-05
2012,Sensor 3,140,7.24E-05
2013,Sensor 3,174,9.06E-05
2014,Sensor 3,193,9.91E-05
2015,Sensor 3,186,9.61E-05
1880,Sensor 4,12,0.000122946
1881,Sensor 4,14,0.000141622
1882,Sensor 4,15,0.00012965
1883,Sensor 4,16,0.000133268
1884,Sensor 4,13,9.45E-05
1885,Sensor 4,10,7.04E-05
1886,Sensor 4,10,6.50E-05
1887,Sensor 4,15,9.65E-05
1888,Sensor 4,26,0.000137242
1889,Sensor 4,12,6.34E-05
1890,Sensor 4,24,0.000119012
1891,Sensor 4,15,7.63E-05
1892,Sensor 4,16,7.11E-05
1893,Sensor 4,24,0.000106557
1894,Sensor 4,18,7.63E-05
1895,Sensor 4,13,5.26E-05
1896,Sensor 4,18,7.14E-05
1897,Sensor 4,23,9.26E-05
1898,Sensor 4,21,7.66E-05
1899,Sensor 4,11,4.44E-05
1900,Sensor 4,26,8.18E-05
1901,Sensor 4,21,8.26E-05
1902,Sensor 4,21,7.49E-05
1903,Sensor 4,21,7.55E-05
1904,Sensor 4,23,7.86E-05
1905,Sensor 4,18,5.81E-05
1906,Sensor 4,25,7.98E-05
1907,Sensor 4,21,6.22E-05
1908,Sensor 4,25,7.05E-05
1909,Sensor 4,26,7.06E-05
1910,Sensor 4,33,7.87E-05
1911,Sensor 4,36,8.15E-05
1912,Sensor 4,32,5.45E-05
1913,Sensor 4,42,6.41E-05
1914,Sensor 4,62,7.78E-05
1915,Sensor 4,106,0.000103528
1916,Sensor 4,90,8.29E-05
1917,Sensor 4,89,7.92E-05
1918,Sensor 4,92,7.65E-05
1919,Sensor 4,70,5.96E-05
1920,Sensor 4,82,6.59E-05
1921,Sensor 4,94,7.35E-05
1922,Sensor 4,71,5.69E-05
1923,Sensor 4,118,9.42E-05
1924,Sensor 4,125,9.65E-05
1925,Sensor 4,82,6.49E-05
1926,Sensor 4,116,9.43E-05
1927,Sensor 4,91,7.36E-05
1928,Sensor 4,130,0.000108752
1929,Sensor 4,161,0.000139095
1930,Sensor 4,165,0.000141468
1931,Sensor 4,158,0.000143173
1932,Sensor 4,208,0.000188037
1933,Sensor 4,243,0.000232344
1934,Sensor 4,280,0.000258738
1935,Sensor 4,279,0.000256746
1936,Sensor 4,299,0.000277512
1937,Sensor 4,323,0.000293177
1938,Sensor 4,410,0.00035923
1939,Sensor 4,443,0.000390655
1940,Sensor 4,469,0.00039705
1941,Sensor 4,608,0.000488037
1942,Sensor 4,676,0.000486203
1943,Sensor 4,788,0.000549042
1944,Sensor 4,1293,0.000946262
1945,Sensor 4,1464,0.001087626
1946,Sensor 4,2470,0.001531469
1947,Sensor 4,5838,0.003211608
1948,Sensor 4,11246,0.006453623
1949,Sensor 4,19208,0.010941618
1950,Sensor 4,29073,0.016528865
1951,Sensor 4,42045,0.022768046
1952,Sensor 4,49809,0.026185701
1953,Sensor 4,52196,0.027056981
1954,Sensor 4,54674,0.027465649
1955,Sensor 4,52314,0.026099932
1956,Sensor 4,47829,0.023225515
1957,Sensor 4,40065,0.019101165
1958,Sensor 4,32936,0.015949552
1959,Sensor 4,29552,0.014218103
1960,Sensor 4,25269,0.012148967
1961,Sensor 4,24092,0.011603752
1962,Sensor 4,22893,0.01129393
1963,Sensor 4,21062,0.010595154
1964,Sensor 4,19306,0.009864182
1965,Sensor 4,17083,0.009348551
1966,Sensor 4,16250,0.009256332
1967,Sensor 4,14007,0.008159478
1968,Sensor 4,12286,0.007186981
1969,Sensor 4,11186,0.006345875
1970,Sensor 4,9853,0.005378404
1971,Sensor 4,8675,0.004950478
1972,Sensor 4,6279,0.003893896
1973,Sensor 4,4984,0.003207185
1974,Sensor 4,4345,0.002774305
1975,Sensor 4,3415,0.002188114
1976,Sensor 4,2994,0.0019047
1977,Sensor 4,2677,0.001627475
1978,Sensor 4,2479,0.001508129
1979,Sensor 4,2181,0.001265768
1980,Sensor 4,1938,0.001088625
1981,Sensor 4,1905,0.001065417
1982,Sensor 4,1842,0.001015595
1983,Sensor 4,1605,0.000897097
1984,Sensor 4,1468,0.000814388
1985,Sensor 4,1401,0.000759098
1986,Sensor 4,1284,0.000696035
1987,Sensor 4,1203,0.000642088
1988,Sensor 4,1056,0.000549353
1989,Sensor 4,1076,0.000540218
1990,Sensor 4,1094,0.000532697
1991,Sensor 4,1014,0.000498776
1992,Sensor 4,919,0.000458545
1993,Sensor 4,797,0.000404357
1994,Sensor 4,740,0.000379706
1995,Sensor 4,660,0.000343565
1996,Sensor 4,633,0.000330259
1997,Sensor 4,638,0.000334283
1998,Sensor 4,553,0.00028539
1999,Sensor 4,524,0.000269294
2000,Sensor 4,545,0.000273257
2001,Sensor 4,489,0.000247023
2002,Sensor 4,474,0.000240176
2003,Sensor 4,421,0.000209982
2004,Sensor 4,427,0.000211799
2005,Sensor 4,425,0.000209617
2006,Sensor 4,423,0.000202561
2007,Sensor 4,371,0.000175504
2008,Sensor 4,355,0.000170677
2009,Sensor 4,346,0.000171135
2010,Sensor 4,354,0.000180903
2011,Sensor 4,332,0.000171723
2012,Sensor 4,336,0.000173729
